id,title,type,at_min,at_sec,jump_max,life_speed,life_zoom
0,coulee lave,in,,,,,
1,arbres morts,out,,,,,
2,danse digue,in,16,16,32,1,1
3,port de nuit,out,18,22,22,1,1
4,reflet mer nuit,in,,,,
5,danse main,out,,,,,
6,rocher et mer,in,20,30,25,1,1
7,danse port,out,,,,,
8,danse nu,in,23,20,105,1,1
9,petit dej,out,26,11,36,1,1
10,fin petit dej,out,27,41,36,1,1
11,mer defile,out,26,53,,1,1
12,mer defile proche,out,,,,,
13,plongeon,out,29,09,13,1,1
