id;title;type;at_heu;at_sec;jump_max;life_speed;life_zoom;;;;
2;danse digue;in;0;944;32;1;1;;;;
3;port de nuit;out;0;1004;22;1;1;;;;
4;reflet mer nuit;in;0;1067;34;1;1;;;;
5;danse main;out;0;1141;33;1;1;;;;
6;rocher et mer;in;1;1204;25;1;1;;;;
7;danse port;out;1;1243;7;1;1;;;;
8;danse nu;in;1;1459;105;1;1;;;;
9;petit dej;out;1;1607;36;1;1;;;;
10;fin petit dej;in;1;1649;6;1;1;;;;
11;mer defile;out;1;1672;10;1;1;;;;
12;mer defile proche;in;1;1725;17;1;1;;;;
13;plongeon;out;1;1763;13;1;1;;;;
