id,title,type,at_heu,at_sec,jump_max,life_speed,life_zoom
2,danse digue,in,1,944,32,8,6.6
3,port de nuit,out,1,1004,22,8,6.6
4,reflet mer nuit,in,1,1067,34,8,4
5,danse main,out,1,1141,33,8,4
6,rocher et mer,in,1,1204,25,6,2.5
7,danse port,out,1,1243,7,6,2.5
8,danse nu,in,1,1459,105,4,1.6
9,petit dej,out,1,1607,36,4,1.6
10,mer defile proche,in,1,1719,17,1,1
11,plongeon,out,1,1757,13,1,1
